Nama,Penghasilan(jt),Jumlah Anggota Keluarga,Tingkat Pendidikan,Dinding Rumah,Lantai Rumah,Atap Rumah,Sumber Penerangan(VA),Luas Lantai Rumah(m2),Sumber Mata Air,Pengeluaran Kebutuhan Pangan,Pengobatan Tenaga Medis,Pembelian Pakaian(/tahun),Kecamatan
Dodo Budiyanto,7,2,S2,Bambu,Keramik,Rumbia,6.6,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Simon Waskita,7,5,D3,Bambu,Keramik,Rumbia,0.45,> 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Ihsan Waskita,3,4,S2,Kayu,Keramik,Rumbia,6.6,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Sakura Halimah,6,6,SD,Kayu,Kayu,Asbes,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Liman Suryono,3,3,SD,Tembok,Keramik,Genteng,1.3,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Harja Wahyuni,9,1,S1,Bambu,Semen,Seng,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Salimah Permata,3,7,S1,Tembok,Semen,Genteng,6.6,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan C
"Sutan Maryadi Prayoga, S.T.",4,5,SMP,Bambu,Tanah,Genteng,0.45,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan A
Irnanto Budiman,4,0,S3,Tembok,Semen,Asbes,3.5,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Janet Nababan,6,7,S2,Kayu,Keramik,Asbes,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Widya Manullang,3,7,SD,Kayu,Semen,Asbes,0.45,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Ajimin Siregar,3,3,Tidak Sekolah,Bambu,Tanah,Asbes,6.6,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
R. Bakda Hartati,8,3,SMA,Tembok,Semen,Seng,1.3,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan D
drg. Kamaria Suwarno,5,4,SMP,Tembok,Semen,Seng,1.3,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan D
Dian Farida,7,7,S3,Bambu,Tanah,Seng,6.6,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
"Hj. Hana Puspita, S.Farm",5,0,SMP,Kayu,Kayu,Rumbia,0.45,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Zizi Suartini,1,7,Tidak Sekolah,Tembok,Tanah,Asbes,3.5,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
"Rina Hutapea, S.E.",2,0,S3,Tembok,Keramik,Asbes,1.3,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
"Tgk. Elvina Utami, S.E.I",6,6,S1,Tembok,Keramik,Genteng,6.6,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
"Warsita Pradipta, S.I.Kom",6,6,SMA,Kayu,Kayu,Genteng,1.3,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Cut Dinda Namaga,2,5,S3,Kayu,Kayu,Asbes,3.5,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Joko Megantara,7,7,SMP,Bambu,Tanah,Asbes,3.5,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
"Ir. Irnanto Lestari, M.Farm",5,4,SMP,Bambu,Semen,Rumbia,3.5,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Tami Astuti,6,0,Tidak Sekolah,Tembok,Kayu,Genteng,0.45,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Perkasa Prasetya,8,4,D3,Kayu,Tanah,Seng,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan B
"dr. Lili Pangestu, M.Kom.",9,5,D3,Bambu,Keramik,Genteng,0.45,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Tgk. Padmi Dabukke,7,4,SD,Bambu,Semen,Rumbia,0.45,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
drg. Reza Novitasari,3,1,Tidak Sekolah,Kayu,Kayu,Genteng,6.6,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan C
"T. Marsito Mustofa, S.E.",5,5,S1,Bambu,Tanah,Rumbia,0.45,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Mulyanto Mustofa,2,0,SD,Tembok,Semen,Asbes,3.5,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
"Prasetyo Yuliarti, M.Pd",7,0,SMA,Kayu,Kayu,Rumbia,3.5,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Ghaliyati Megantara,7,5,Tidak Sekolah,Bambu,Tanah,Rumbia,0.45,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
"Faizah Gunawan, S.H.",4,6,SD,Tembok,Kayu,Genteng,1.3,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
"Wulan Uyainah, S.Pd",5,6,SMP,Kayu,Tanah,Genteng,3.5,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Karman Kuswandari,9,2,Tidak Sekolah,Kayu,Tanah,Rumbia,3.5,< 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan B
"Mutia Firgantoro, M.M.",6,1,SD,Kayu,Semen,Rumbia,3.5,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
Latika Rahayu,4,3,D3,Kayu,Semen,Genteng,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Sadina Oktaviani,9,4,S3,Tembok,Tanah,Genteng,6.6,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Kenari Susanti,7,3,D3,Kayu,Semen,Genteng,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Indra Putra,1,1,S3,Tembok,Kayu,Rumbia,6.6,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Ir. Manah Pratama,9,1,S2,Bambu,Semen,Rumbia,3.5,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Tgk. Darman Sirait,8,6,SMA,Bambu,Semen,Rumbia,6.6,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Drs. Laras Gunawan,7,3,Tidak Sekolah,Tembok,Tanah,Rumbia,1.3,< 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
Viman Sihombing,5,7,SD,Tembok,Semen,Genteng,1.3,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Dr. Panji Sitorus,3,0,SD,Kayu,Tanah,Asbes,3.5,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Shania Simbolon,4,2,SMP,Bambu,Keramik,Genteng,3.5,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Zahra Prasetyo,6,4,D3,Tembok,Keramik,Asbes,3.5,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Dt. Kurnia Winarsih,10,4,SD,Kayu,Tanah,Seng,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
R.M. Daruna Mayasari,5,7,S2,Kayu,Semen,Rumbia,0.45,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan D
Jessica Mandasari,1,0,SMP,Bambu,Keramik,Rumbia,3.5,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Halima Prakasa,2,2,SD,Bambu,Tanah,Seng,6.6,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Hj. Gawati Suryono,5,4,D3,Kayu,Keramik,Asbes,3.5,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Paris Puspasari,1,0,SMA,Kayu,Keramik,Asbes,6.6,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
Julia Palastri,3,5,Tidak Sekolah,Tembok,Tanah,Genteng,6.6,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
"Ami Suryatmi, M.M.",2,4,SMA,Bambu,Keramik,Genteng,6.6,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Taufan Halimah,1,1,Tidak Sekolah,Bambu,Tanah,Asbes,0.45,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
"Dt. Ade Sitompul, M.Kom.",7,0,S2,Bambu,Kayu,Rumbia,1.3,< 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan A
Tari Sinaga,10,4,S3,Bambu,Kayu,Genteng,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Dipa Mayasari,4,6,S1,Bambu,Kayu,Rumbia,1.3,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Puti Almira Mandala,2,1,SMA,Kayu,Keramik,Genteng,1.3,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Drs. Febi Riyanti,8,6,SMP,Tembok,Keramik,Seng,0.45,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan B
dr. Hasna Gunawan,7,3,SMA,Tembok,Tanah,Rumbia,3.5,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan A
Surya Rahmawati,9,6,S2,Bambu,Semen,Genteng,3.5,< 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan C
"Maida Narpati, M.Farm",6,4,SMA,Kayu,Tanah,Asbes,3.5,< 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Safina Palastri,10,4,SD,Bambu,Kayu,Genteng,1.3,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
Rahman Sitompul,6,0,S2,Tembok,Kayu,Genteng,3.5,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Laksana Puspasari,8,5,Tidak Sekolah,Kayu,Keramik,Seng,3.5,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Banawi Uyainah,1,1,Tidak Sekolah,Bambu,Semen,Seng,0.45,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Jamalia Mansur,4,5,SMP,Kayu,Semen,Seng,0.45,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
Jane Firgantoro,1,4,SMA,Bambu,Tanah,Rumbia,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Drs. Rahmi Hakim,3,1,S3,Bambu,Tanah,Genteng,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
Tiara Nurdiyanti,7,5,S1,Kayu,Kayu,Genteng,0.45,> 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Ir. Eli Gunawan,9,5,SMP,Kayu,Keramik,Genteng,0.45,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Najam Setiawan,5,6,S1,Bambu,Keramik,Rumbia,3.5,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Laras Siregar,6,3,S3,Bambu,Semen,Asbes,3.5,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
Samiah Kuswoyo,7,6,S1,Kayu,Semen,Genteng,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
"Ir. Daliman Namaga, S.Sos",10,0,S2,Tembok,Tanah,Asbes,3.5,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Endra Susanti,2,6,S3,Kayu,Semen,Genteng,1.3,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Hasta Maryadi,3,6,S1,Kayu,Kayu,Genteng,0.45,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Gadang Situmorang,10,5,SD,Bambu,Keramik,Genteng,3.5,< 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
"R. Garan Marpaung, M.Pd",9,6,SD,Tembok,Semen,Rumbia,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
"Bella Pranowo, S.T.",10,0,SMP,Bambu,Keramik,Asbes,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
"T. Galang Hutapea, S.Psi",9,2,SMP,Kayu,Semen,Seng,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Rika Sihombing,2,1,SD,Tembok,Semen,Seng,1.3,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Sutan Jaeman Megantara,6,3,Tidak Sekolah,Kayu,Semen,Genteng,3.5,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Radit Yuliarti,10,5,SMP,Kayu,Kayu,Rumbia,6.6,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
R. Niyaga Manullang,9,3,SMA,Bambu,Tanah,Asbes,0.45,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Drs. Laila Sinaga,5,5,SD,Bambu,Kayu,Asbes,6.6,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
"Drs. Diana Damanik, S.Farm",2,6,Tidak Sekolah,Tembok,Keramik,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Genta Simbolon,4,2,S2,Tembok,Tanah,Asbes,6.6,> 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan A
"Dt. Anggabaya Hasanah, S.IP",8,2,D3,Kayu,Kayu,Rumbia,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Elvin Prayoga,9,7,Tidak Sekolah,Bambu,Keramik,Genteng,0.45,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Salsabila Pertiwi,4,1,SD,Kayu,Keramik,Seng,6.6,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Talia Latupono,10,5,S3,Tembok,Keramik,Asbes,3.5,> 8m,Sumur Pompa,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
"Bakiman Winarsih, M.Kom.",6,0,S3,Tembok,Keramik,Genteng,0.45,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Gina Nashiruddin,7,2,Tidak Sekolah,Tembok,Semen,Genteng,3.5,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Legawa Yolanda,2,1,Tidak Sekolah,Bambu,Semen,Asbes,6.6,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
"drg. Bahuraksa Sihotang, M.M.",1,6,D3,Kayu,Semen,Asbes,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Kania Prasetya,1,2,S1,Kayu,Tanah,Asbes,1.3,< 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan A
Zaenab Winarno,5,2,Tidak Sekolah,Kayu,Semen,Seng,0.45,> 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan C
"R.M. Slamet Hariyah, S.I.Kom",9,6,D3,Tembok,Semen,Rumbia,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
"Rini Prasetyo, S.H.",6,4,S1,Bambu,Tanah,Seng,3.5,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
Digdaya Handayani,2,1,SMP,Tembok,Semen,Seng,1.3,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
Radit Aryani,7,3,SD,Tembok,Keramik,Asbes,0.45,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan D
Hana Hasanah,4,5,SD,Tembok,Keramik,Genteng,3.5,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan C
Hartaka Sihotang,6,6,SMP,Kayu,Kayu,Seng,3.5,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Drs. Tiara Wijayanti,1,2,SD,Bambu,Kayu,Genteng,1.3,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
"Cut Ulva Usamah, S.IP",3,2,S2,Bambu,Keramik,Seng,6.6,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Embuh Maheswara,8,7,S1,Tembok,Keramik,Rumbia,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan B
"Empluk Hutagalung, S.Ked",9,1,Tidak Sekolah,Bambu,Semen,Genteng,1.3,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan B
Uchita Nasyiah,3,6,Tidak Sekolah,Bambu,Semen,Seng,3.5,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
"Ulya Suryatmi, S.Kom",4,2,S1,Kayu,Tanah,Seng,1.3,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Prayoga Ardianto,9,4,D3,Tembok,Tanah,Genteng,3.5,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
R.A. Jelita Puspita,4,2,SD,Bambu,Kayu,Genteng,6.6,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Dirja Kuswoyo,9,2,SMP,Kayu,Kayu,Genteng,3.5,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
Ulya Maryadi,2,6,S2,Bambu,Semen,Asbes,3.5,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan C
Nadia Susanti,8,6,D3,Bambu,Kayu,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Jaka Suryatmi,1,7,S1,Bambu,Kayu,Asbes,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan B
"Ir. Winda Dongoran, S.IP",10,3,SD,Tembok,Semen,Genteng,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan A
"R.A. Fathonah Setiawan, M.Farm",8,0,D3,Tembok,Semen,Seng,6.6,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Harja Sihotang,1,1,S1,Tembok,Keramik,Rumbia,3.5,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Oliva Widodo,4,0,SD,Bambu,Kayu,Asbes,6.6,> 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Nova Hariyah,10,4,S1,Bambu,Kayu,Genteng,6.6,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Gadang Mandasari,7,1,D3,Kayu,Kayu,Genteng,0.45,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
"R.A. Padma Mardhiyah, S.T.",8,4,D3,Kayu,Tanah,Rumbia,3.5,> 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan D
Ir. Diah Uwais,10,2,Tidak Sekolah,Bambu,Kayu,Rumbia,1.3,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Dartono Winarno,4,5,Tidak Sekolah,Tembok,Kayu,Seng,1.3,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan C
"Aisyah Samosir, S.Sos",1,2,D3,Bambu,Tanah,Seng,1.3,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan D
Pangestu Uwais,9,0,S1,Kayu,Semen,Genteng,1.3,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Bakti Nasyidah,5,1,D3,Kayu,Tanah,Asbes,1.3,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan C
"Michelle Megantara, S.Psi",5,6,SMA,Tembok,Kayu,Seng,0.45,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Keisha Widiastuti,10,7,Tidak Sekolah,Bambu,Keramik,Genteng,3.5,> 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Melinda Lazuardi,10,3,SMA,Bambu,Tanah,Rumbia,3.5,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Empluk Pradana,9,3,Tidak Sekolah,Bambu,Tanah,Genteng,0.45,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
Candrakanta Prakasa,8,6,SMA,Tembok,Tanah,Genteng,0.45,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
"Sakti Kusumo, M.M.",1,5,S3,Kayu,Tanah,Asbes,6.6,> 8m,Sumur Pompa,Sebagian Kecil,Mampu,Mampu,Kecamatan A
Warsa Irawan,10,6,D3,Bambu,Kayu,Rumbia,6.6,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan A
Karta Iswahyudi,8,4,S2,Bambu,Semen,Seng,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
Slamet Prasetyo,8,2,D3,Kayu,Keramik,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Tgk. Gatra Kuswoyo,5,4,SMA,Bambu,Tanah,Seng,0.45,< 8m,Sumur Galian,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan A
Narji Santoso,1,6,SD,Bambu,Tanah,Rumbia,1.3,< 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan D
Dr. Ana Prasetya,3,0,S3,Bambu,Tanah,Asbes,3.5,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan C
"Ir. Shakila Permata, S.Pt",2,7,SMP,Bambu,Keramik,Seng,0.45,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan B
Hardana Lailasari,1,4,S2,Kayu,Keramik,Rumbia,0.45,> 8m,Sumur Pompa,Sebagian Besar,Mampu,Mampu,Kecamatan A
Aisyah Kuswandari,6,7,SMP,Kayu,Semen,Seng,0.45,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Puti Ellis Uyainah,5,7,SMP,Tembok,Semen,Seng,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
"Tgk. Kasiyah Hartati, S.IP",1,4,SMP,Kayu,Kayu,Seng,1.3,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
"Tgk. Puji Lailasari, S.Ked",1,4,SMP,Kayu,Kayu,Asbes,3.5,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
Ghaliyati Prakasa,2,6,SMA,Bambu,Kayu,Rumbia,1.3,> 8m,Sumur Bor,Sebagian Besar,Mampu,Mampu,Kecamatan A
Ganep Permadi,9,3,S3,Kayu,Keramik,Genteng,1.3,> 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
"Sadina Zulkarnain, S.IP",3,4,S2,Kayu,Kayu,Rumbia,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Kamila Wahyuni,9,2,SMA,Tembok,Tanah,Genteng,6.6,< 8m,Sumur Galian,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan D
Cakrajiya Ramadan,8,2,SMA,Bambu,Kayu,Asbes,3.5,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Tidak Mampu,Kecamatan A
Dodo Hardiansyah,3,0,D3,Kayu,Keramik,Genteng,3.5,> 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Ida Saragih,9,2,S3,Tembok,Kayu,Genteng,3.5,< 8m,Sumur Galian,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Cinta Ardianto,6,7,Tidak Sekolah,Kayu,Tanah,Seng,0.45,> 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
"R. Kenes Namaga, M.Farm",5,4,D3,Kayu,Kayu,Genteng,3.5,> 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan D
R.A. Jasmin Pratiwi,4,5,S2,Tembok,Keramik,Rumbia,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
"Sutan Lantar Hakim, M.Farm",4,7,SMP,Kayu,Tanah,Seng,3.5,< 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan C
Putu Mahendra,5,2,S2,Tembok,Tanah,Genteng,3.5,< 8m,Sumur Bor,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan A
Gandewa Usada,8,1,Tidak Sekolah,Tembok,Tanah,Genteng,6.6,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan C
"Julia Rajata, S.I.Kom",4,0,SD,Kayu,Tanah,Asbes,3.5,< 8m,Sumur Resapan,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
